logread -f
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/tmp/legato/serviceDirectoryClient' to '/legato/systems/current/appsWriteable/cf3GpioControl/tmp/legato/serviceDirectoryClient'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxCoreDumpFileBytes to value 102400.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxFileBytes to value 102400.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxLockedMemoryBytes to value 8192.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxFileDescriptors to value 256.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxMQueueBytes to value 512.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxThreads to value 20.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxQueuedSignals to value 100.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | proc.c proc_Start() 1390 | Starting process 'cf3GpioControl' with pid 4605
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[4605]/supervisor T=main | proc.c proc_Start() 1355 | Execing 'cf3GpioControl'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=unknown | LE_FILENAME InitPool() 295 | Memory pool name 'framework.hashMap_refPathIteratorMap' is truncated to 'framework.hashMap_refPathIterat'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.hashMap_refEventHandlers' is truncated to 'framework.hashMap_refEventHandl'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.hashMap_refDefault Timer SafeRe' is truncated to 'framework.hashMap_refDefault Ti'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.MessagingClientInterfaces' is truncated to 'framework.MessagingClientInterf'
Apr  3 08:37:19 swi-mdm9x28-wp user.debug Legato:  DBUG | _UNKNOWN_[4605]/framework T=main | LE_FILENAME InitPool() 295 | Memory pool name 'framework.hashMap_refHandlersRef' is truncated to 'framework.hashMap_refHandlersRe'
